field,address,day_time,game_length,hometeam_score,hometeam,awayteam,awayteam_score,name
Campo 1,Fano italia,2019-3-17 09:00,80,15,CUSB Fotta Red,Spaccamadoni,11,MA1
Campo 1,Fano italia,2019-3-17 10:30,80,14,CUSB Red Bulls,CUS Padova Barbastreji,6,MA1
Campo 1,Fano italia,2019-3-17 12:00,80,15,CUSB Fotta Red,CUSB Zero51,13,MA1
Campo 1,Fano italia,2019-3-17 13:30,80,7,CUS Padova Barbastreji,Cota Viet,15,MA1
Campo 1,Fano italia,2019-3-17 15:00,80,12,CUSB Zero51,Spaccamadoni,13,MA1
Campo 1,Fano italia,2019-3-17 16:30,80,15,CUSB Red Bulls,Cota Viet,9,MA1
Campo 1,Via del carpentiere Bologna Italia,2019-3-17 09:00,80,15,CUSB Fotta White,DiscoBolo,5,MA2
Campo 1,Via del carpentiere Bologna Italia,2019-3-17 10:30,80,8,Canieporci,Donkey Divers, 15,MA2
Campo 1,Via del carpentiere Bologna Italia,2019-3-17 12:00,80,15,CUSB Fotta White,Cotarica,9,MA2
Campo 1,Via del carpentiere Bologna Italia,2019-3-17 13:30,80,13,Canieporci,Beefree,11,MA2
Campo 1,Via del carpentiere Bologna Italia,2019-3-17 15:00,80,7,DiscoBolo,Donkey Divers,14,MA2
Campo 1,Via del carpentiere Bologna Italia,2019-3-17 16:30,80,15,Cotarica,Beefree,3,MA2
Campo 1,Via Tirandi Brescia Italia,2019-3-17 09:00,80,5,Ultimate CUS Brescia,Alligators,15,MB1
Campo 1,Via Tirandi Brescia Italia,2019-3-17 10:30,80,12,Frasba dal Lac,CUSB History One,11,MB1
Campo 1,Via Tirandi Brescia Italia,2019-3-17 12:00,80,15,Gremlins,CUS Padova Barbari,11,MB1
Campo 1,Via Tirandi Brescia Italia,2019-3-17 13:30,80,14,Voladora,PGS Rams,13,MB2
Campo 1,Via Tirandi Brescia Italia,2019-3-17 15:00,80,15,Frasba dal Lac,Gremlins,10,MB1
Campo 1,Via Tirandi Brescia Italia,2019-3-17 16:30,80,11,45 Giri,PGS Rams,15,MB2
Campo 2,Via Tirandi Brescia Italia,2019-3-17 09:00,80,10,Voladora,Ultimate Bergamo,11,MB2
Campo 2,Via Tirandi Brescia Italia,2019-3-17 10:30,80,15,45 Giri,Extradry,6,MB2
Campo 2,Via Tirandi Brescia Italia,2019-3-17 12:00,80,15,Ultimate Bergamo,Discover,7,MB2
Campo 2,Via Tirandi Brescia Italia,2019-3-17 13:30,80,9,Ultimate CUS Brescia,CUSB History One,15,MB1
Campo 2,Via Tirandi Brescia Italia,2019-3-17 15:00,80,15,Alligators,CUS Padova Barbari,9,MB1
Campo 2,Via Tirandi Brescia Italia,2019-3-17 16:30,80,7,Extradry,Discover,15,MB2
Campo 1,Via Jacopo Corrado 4 Padova Italia,2019-3-17 09:00,80,15,CUS Padova Tane Malefiche,2DPick,5,WBN
