name,city,category
CUSB Fotta Red,Bologna,MA
Spaccamadoni,Venezia,MA
CUSB Red Bulls,Bologna,MA
CUS Padova Barbastreji,Padova,MA
CUSB Zero51,Bologna,MA
Cota Viet,Rimini,MA
CUSB Fotta White,Bologna,MA
Donkey Divers,Milano,MA
Cotarica,Rimini,MA
DiscoBolo,Bologna,MA
Canieporci,Imola,MA
Beefree,Torino,MA
Frasba dal Lac,Torino,MB
Alligators,Bologna,MB
CUSB History One,Bologna,MB
Gremlins,Rimini,MB
Ultimate CUS Brescia,Brescia,MB
CUS Padova Barbari,Padova,MB
Ultimate Bergamo,Bergamo,MB
Voladora,Parma,MB
PGS Rams,Modena,MB
Discover,Verona,MB
45 Giri,Forlì,MB
Extradry,Venezia,MB
CUS Padova Tane Malefiche,Padova,WB
HUB,Verona,WB
Donkey Divers Ladies,Milano,WB
Fireflies,Torino,WB
CUSB Red Bulle West,Bologna,WB
2DPick,Reggio,WB
CUSB Yell,Bologna,WB
BBCP,Rimini,WB
Tequila Boom Baby,Rimini,WB
Alligators Ladies,Bologna,WB
CUSB Red Bulle East,Bologna,WB

